time/iterations,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/entropy_loss,train/learning_rate,train/std,train/n_updates,train/clip_range,train/policy_gradient_loss,train/clip_fraction,train/value_loss,train/loss,train/explained_variance,train/approx_kl
15,69.7,30720,-393.70891788,17,1751,-1.414178143814206,0.0005374399391671351,0.9938907623291016,140,0.12384784974010783,-0.001521546054573264,0.022802734375,1023.6249177932739,758.735595703125,0.11609447002410889,0.0015964101
16,62.29,32768,-350.0401007500001,18,1749,-1.4126187842339277,0.0005374399391671351,0.9932032823562622,150,0.12384784974010783,-0.0014216469033272005,0.02099609375,1215.1180843353272,657.8807373046875,0.11863869428634644,0.0014086966
17,64.82,34816,-358.2608358000001,19,1746,-1.4141412407159806,0.0005374399391671351,0.9963768124580383,160,0.12384784974010783,-0.002194826117192861,0.023876953125,1563.0253295898438,1134.3499755859375,0.13661056756973267,0.0017928308
18,67.92,36864,-364.49303733,21,1748,-1.415562653169036,0.0005374399391671351,0.9964434504508972,170,0.12384784974010783,-0.003108836711908225,0.04443359375,1055.5206216812135,698.9242553710938,0.2837618589401245,0.0017709876
19,76.89,38912,-455.4809031500001,22,1751,-1.4154640268534422,0.0005374399391671351,0.9966738820075989,180,0.12384784974010783,-0.001253871913650073,0.01611328125,1187.924114227295,903.1016235351562,0.3485402464866638,0.0014789619
20,71.78,40960,-429.08690334000005,23,1740,-1.4169966105371714,0.0005374399391671351,0.9987120032310486,190,0.12384784974010783,-0.0005893004621611908,0.013037109375,980.2729133605957,845.1595458984375,0.5140708684921265,0.0013779271
21,64.72,43008,-384.9741738,24,1741,-1.4197081424295903,0.0005374399391671351,1.003136157989502,200,0.12384784974010783,-0.0005653205545968377,0.001513671875,1221.885005569458,959.2210083007812,0.5778165459632874,0.00097170175
22,60.0,45056,-333.84539247,25,1742,-1.4233482476323842,0.0005374399391671351,1.0049388408660889,210,0.12384784974010783,-0.0008371520700166002,0.005859375,1213.3894859313964,983.8594970703125,0.6248135566711426,0.0010826067
23,60.99,47104,-312.21816885000004,27,1737,-1.4247350428253411,0.0005374399391671351,1.0063954591751099,220,0.12384784974010783,-0.00019076746830251067,0.0,993.7192701339721,719.1583251953125,0.6517172455787659,0.00025997902
24,62.95,49152,-310.86940585,28,1736,-1.4261050768196584,0.0005374399391671351,1.007494568824768,230,0.12384784974010783,-0.0008416359138209373,0.00869140625,1199.4896574020386,719.5066528320312,0.7106926739215851,0.0009537424
25,63.13,51200,-319.51935846,29,1736,-1.4250102449208497,0.0005374399391671351,1.005753993988037,240,0.12384784974010783,-0.0007328262479859404,0.006591796875,1083.2320410728455,728.498046875,0.7188310921192169,0.00085221254
26,69.89,53248,-395.65874456999995,30,1735,-1.4256821356713771,0.0005374399391671351,1.0082765817642212,250,0.12384784974010783,-0.0001045670680468902,0.000927734375,1154.2581588745118,627.7683715820312,0.7532586455345154,0.00076950714
27,71.37,55296,-416.15127395999997,31,1735,-1.428118434175849,0.0005374399391671351,1.0094029903411865,260,0.12384784974010783,-0.0004663335239456501,0.00400390625,980.0400155067443,1289.31298828125,0.7956560254096985,0.0010971188
28,67.09,57344,-408.08552865999997,33,1733,-1.4273157924413682,0.0005374399391671351,1.0082789659500122,270,0.12384784974010783,-0.0009070893691387027,0.012451171875,1425.7875673294068,1233.79296875,0.6750244200229645,0.001105961
